UID,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp
28,H29441,H,-0.452429107106576,-0.4081528028729574,1.887596615139234,-1.55167368550055,-0.48626129327859174,0,0,0,0,0,0,2026-01-01 04:30:00
29,L47208,L,-0.452429107106576,-0.4081528028729574,-0.612553606349581,0.42530320568674096,-0.40770788736624775,0,0,0,0,0,0,2026-01-01 04:40:00
30,L47209,L,-0.5024251407342256,-0.4081528028729574,1.094538211548696,-0.996909761953096,-0.3762865250013101,0,0,0,0,0,0,2026-01-01 04:50:00
31,M14890,M,-0.452429107106576,-0.3407519172673904,-1.2846369992229185,0.8287678773576166,-0.3448651626363725,0,0,0,0,0,0,2026-01-01 05:00:00
32,L47211,L,-0.5024251407342256,-0.4081528028729574,1.8002257740657002,-1.4608941343746031,-0.2977331190889661,0,0,0,0,0,0,2026-01-01 05:10:00
33,L47212,L,-0.5024251407342256,-0.4081528028729574,-0.7469702849242486,0.838854494149388,-0.2663117567240285,0,0,0,0,0,0,2026-01-01 05:20:00
34,L47213,L,-0.5524211743618752,-0.47555368847848606,0.9063548615441614,-0.7548309589505707,-0.23489039435909093,0,0,0,0,0,0,2026-01-01 05:30:00
35,M14894,M,-0.6024172079894964,-0.6103554596895817,0.19394646509842384,-0.5329253895315887,-0.2034690319941533,0,0,0,0,0,0,2026-01-01 05:40:00
36,M14895,M,-0.6024172079894964,-0.542954574084053,-0.5251827652760472,0.869114344524704,-0.15633698844674693,0,0,0,0,0,0,2026-01-01 05:50:00
37,M14896,M,-0.5524211743618752,-0.542954574084053,0.3418048115305581,-0.33119305369615093,-0.10920494489934052,0,0,0,0,0,0,2026-01-01 06:00:00
38,L47217,L,-0.6024172079894964,-0.6103554596895817,-0.612553606349581,-0.07902763390185365,-0.06207290135193413,0,0,0,0,0,0,2026-01-01 06:10:00
39,H29452,H,-0.5524211743618752,-0.542954574084053,-1.0158036420735834,1.0809332971519139,-0.030651538986996525,0,0,0,0,0,0,2026-01-01 06:20:00
40,L47219,L,-0.6024172079894964,-0.6103554596895817,-1.2107078260068513,1.2624923994038078,0.047901866925347474,0,0,0,0,0,0,2026-01-01 06:30:00
41,L47220,L,-0.6024172079894964,-0.6103554596895817,-1.130057818862051,0.5463426071880032,0.07932322929028507,0,0,0,0,0,0,2026-01-01 06:40:00
42,L47221,L,-0.6024172079894964,-0.6103554596895817,-1.0897328152896506,1.0910199139436854,0.11074459165522267,0,0,0,0,0,0,2026-01-01 06:50:00
43,M14902,M,-0.6024172079894964,-0.6103554596895817,-1.0897328152896506,0.9195474284835635,0.14216595402016027,0,0,0,0,0,0,2026-01-01 07:00:00
44,H29457,H,-0.6024172079894964,-0.542954574084053,-1.0628494795747172,0.859027727732932,0.18929799756756668,0,0,0,0,0,0,2026-01-01 07:10:00
45,M14904,M,-0.6024172079894964,-0.6103554596895817,-0.3907660867013797,0.7581615598152132,0.26785140347991065,0,0,0,0,0,0,2026-01-01 07:20:00
46,L47225,L,-0.6024172079894964,-0.6103554596895817,-0.27651190991291236,0.9195474284835635,0.31498344702731707,0,0,0,0,0,0,2026-01-01 07:30:00
47,M14906,M,-0.652413241617146,-0.6777563452951486,2.102663300858702,-1.4306342839992874,0.34640480939225465,0,0,0,0,0,0,2026-01-01 07:40:00
48,L47227,L,-0.6024172079894964,-0.6103554596895817,-0.7536911188529819,0.6371221583139501,0.39353685293966106,0,0,0,0,0,0,2026-01-01 07:50:00
49,H29462,H,-0.6024172079894964,-0.542954574084053,-0.7066452813518483,1.4037050344886142,0.42495821530459865,0,0,0,0,0,0,2026-01-01 08:00:00
50,M14909,M,-0.5524211743618752,-0.542954574084053,-0.7940161224253821,0.41521658889496893,0.5035116212169427,0,0,0,0,0,0,2026-01-01 08:10:00
51,L47230,L,-0.5524211743618752,-0.6103554596895817,2.455507082117204,-2.741894466929632,0.5506436647643491,1,0,0,1,0,0,2026-01-01 08:20:00
52,L47231,L,-0.5524211743618752,-0.6103554596895817,-0.98892030635865,1.504571202406333,0.5820650271292866,0,0,0,0,0,0,2026-01-01 08:30:00
53,H29466,H,-0.6024172079894964,-0.6777563452951486,-0.22274523848304537,0.38495673851965284,0.6134863894942243,0,0,0,0,0,0,2026-01-01 08:40:00
54,L47233,L,-0.652413241617146,-0.6777563452951486,0.23427146867082407,-0.49257892236450135,0.6920397954065682,0,0,0,0,0,0,2026-01-01 08:50:00
55,L47234,L,-0.652413241617146,-0.6777563452951486,1.0810965436912292,-0.996909761953096,0.7234611577715059,0,0,0,0,0,0,2026-01-01 09:00:00
56,L47235,L,-0.6024172079894964,-0.6103554596895817,-0.12193272955204475,0.07227161797472474,0.7548825201364434,0,0,0,0,0,0,2026-01-01 09:10:00
57,L47236,L,-0.6024172079894964,-0.6103554596895817,-0.35716191705771283,0.24374410343484648,0.7863038825013811,0,0,0,0,0,0,2026-01-01 09:20:00
58,L47237,L,-0.6024172079894964,-0.6103554596895817,-0.11521189562331137,0.031925150807636596,0.8177252448663187,0,0,0,0,0,0,2026-01-01 09:30:00
59,M14918,M,-0.6024172079894964,-0.6777563452951486,0.8794715258292279,-1.0574294627037275,0.8491466072312562,0,0,0,0,0,0,2026-01-01 09:40:00
60,L47239,L,-0.6024172079894964,-0.6103554596895817,-1.0225244760023169,1.4541381184474735,0.8962786507786626,0,0,0,0,0,0,2026-01-01 09:50:00
61,L47240,L,-0.6024172079894964,-0.6103554596895817,-0.9217119670713163,1.2725790161955797,0.9277000131436003,0,0,0,0,0,0,2026-01-01 10:00:00
62,M14921,M,-0.6024172079894964,-0.6777563452951486,0.41573398474662515,-0.17989380181957257,0.9591213755085378,0,0,0,0,0,0,2026-01-01 10:10:00
63,L47242,L,-0.6024172079894964,-0.6777563452951486,2.008571625856435,-1.7231461709606726,1.0062534190559442,0,0,0,0,0,0,2026-01-01 10:20:00
64,M14923,M,-0.5524211743618752,-0.6777563452951486,1.8943174490679675,-1.4205476672075157,1.0376747814208818,0,0,0,0,0,0,2026-01-01 10:30:00
65,L47244,L,-0.5024251407342256,-0.6103554596895817,-0.04800355633597764,-0.13954733465248514,1.0848068249682883,0,0,0,0,0,0,2026-01-01 10:40:00
66,L47245,L,-0.5024251407342256,-0.6103554596895817,-0.9149911331425828,0.5160827568126879,1.1162281873332258,0,0,0,0,0,0,2026-01-01 10:50:00
67,M14926,M,-0.5524211743618752,-0.7451572309007156,1.0004465365464288,-1.1381223970379026,1.1476495496981634,0,0,0,0,0,0,2026-01-01 11:00:00
68,H29481,H,-0.6024172079894964,-0.7451572309007156,-0.43109109027377995,0.41521658889496893,1.1947815932455699,0,0,0,0,0,0,2026-01-01 11:10:00
69,L47248,L,-0.6024172079894964,-0.7451572309007156,-0.02112022062104414,-0.7649175757423428,1.273334999157914,0,0,0,0,0,0,2026-01-01 11:20:00
70,L47249,L,-0.5524211743618752,-0.6777563452951486,-0.8074577902828489,2.593925815917698,1.3047563615228515,1,0,0,1,1,0,2026-01-01 11:30:00
71,M14930,M,-0.5524211743618752,-0.6777563452951486,2.455507082117204,-1.7534060213359879,1.336177723887789,0,0,0,0,0,0,2026-01-01 11:40:00
72,L47251,L,-0.5524211743618752,-0.6103554596895817,-0.5251827652760472,0.5564292239797752,1.3833097674351955,0,0,0,0,0,0,2026-01-01 11:50:00
73,L47252,L,-0.5524211743618752,-0.6103554596895817,-1.0830119813609171,0.4454764392702843,1.414731129800133,0,0,0,0,0,0,2026-01-01 12:00:00
74,L47253,L,-0.5024251407342256,-0.6103554596895817,0.41573398474662515,-0.5026655391562734,1.4461524921650706,0,0,0,0,0,0,2026-01-01 12:10:00
75,L47254,L,-0.5524211743618752,-0.6777563452951486,0.4762214901052255,-0.7750041925341148,1.4775738545300083,0,0,0,0,0,0,2026-01-01 12:20:00
76,L47255,L,-0.6024172079894964,-0.7451572309007156,-1.0158036420735834,0.6774686254810383,1.5089952168949459,0,0,0,0,0,0,2026-01-01 12:30:00
77,L47256,L,-0.6024172079894964,-0.7451572309007156,-0.4646952599174468,0.7985080269823005,1.5404165792598834,0,0,0,0,0,0,2026-01-01 12:40:00
78,L47257,L,-0.6024172079894964,-0.7451572309007156,-0.5050202634898471,0.13279131872535552,1.5718379416248212,1,1,0,0,0,0,2026-01-01 12:50:00
79,L47258,L,-0.6024172079894964,-0.7451572309007156,-0.8881077974276493,1.1616262314860888,-1.6959837443286894,0,0,0,0,0,0,2026-01-01 13:00:00
80,L47259,L,-0.6024172079894964,-0.7451572309007156,-0.8612244617127159,-0.21015365219488868,-1.6645623819637516,0,0,0,0,0,0,2026-01-01 13:10:00
81,H29494,H,-0.6024172079894964,-0.8125581165062443,-0.5722286027771808,1.0002403628177383,-1.633141019598814,0,0,0,0,0,0,2026-01-01 13:20:00
82,L47261,L,-0.5524211743618752,-0.7451572309007156,-0.5386244331335139,0.7581615598152132,-1.55458761368647,0,0,0,0,0,0,2026-01-01 13:30:00
83,L47262,L,-0.5524211743618752,-0.7451572309007156,-0.5184619313473138,0.08235823476649605,-1.5231662513215325,0,0,0,0,0,0,2026-01-01 13:40:00
84,L47263,L,-0.5024251407342256,-0.6777563452951486,-0.41092858848757985,0.011751917224093241,-1.491744888956595,0,0,0,0,0,0,2026-01-01 13:50:00
85,L47264,L,-0.5524211743618752,-0.7451572309007156,-0.7268077831380484,0.7682481766069852,-1.4603235265916572,0,0,0,0,0,0,2026-01-01 14:00:00
86,M14945,M,-0.5024251407342256,-0.6777563452951486,1.8405507776381005,-1.3297681160815684,-1.4289021642267197,0,0,0,0,0,0,2026-01-01 14:10:00
87,H29500,H,-0.5024251407342256,-0.6777563452951486,-0.6327161081357812,0.39504335531142487,-1.3817701206793134,0,0,0,0,0,0,2026-01-01 14:20:00
88,L47267,L,-0.5024251407342256,-0.6777563452951486,0.09313395616742322,-0.8254372764929738,-1.3032167147669693,0,0,0,0,0,0,2026-01-01 14:30:00
89,M14948,M,-0.5024251407342256,-0.6777563452951486,-0.7469702849242486,0.5261693736044599,-1.2717953524020318,0,0,0,0,0,0,2026-01-01 14:40:00
90,M14949,M,-0.5524211743618752,-0.7451572309007156,-0.2899535777703791,-0.04876778352653825,-1.2246633088546253,0,0,0,0,0,0,2026-01-01 14:50:00
91,L47270,L,-0.5524211743618752,-0.7451572309007156,1.4977882472726984,-1.4306342839992874,-1.177531265307219,0,0,0,0,0,0,2026-01-01 15:00:00
92,L47271,L,-0.5524211743618752,-0.7451572309007156,2.0152924597851682,-1.5214138351252346,-1.1461099029422812,0,0,0,0,0,0,2026-01-01 15:10:00
93,M14952,M,-0.5524211743618752,-0.7451572309007156,1.3230465651256307,-1.2995082657062527,-1.1146885405773437,0,0,0,0,0,0,2026-01-01 15:20:00
94,L47273,L,-0.452429107106576,-0.6777563452951486,-0.5386244331335139,0.304263804185478,-1.0675564970299374,0,0,0,0,0,0,2026-01-01 15:30:00
95,L47274,L,-0.5024251407342256,-0.7451572309007156,0.6173590026086264,-0.8153506597012022,-1.0361351346649996,0,0,0,0,0,0,2026-01-01 15:40:00
96,M14955,M,-0.5024251407342256,-0.6777563452951486,-1.2039869920781179,1.2322325490284922,-1.004713772300062,0,0,0,0,0,0,2026-01-01 15:50:00
97,M14956,M,-0.5024251407342256,-0.6777563452951486,0.3014798079581578,-0.472405688780958,-0.9575817287526557,0,0,0,0,0,0,2026-01-01 16:00:00
98,M14957,M,-0.5524211743618752,-0.7451572309007156,1.4776257454864983,-1.01708299553664,-0.9104496852052493,0,0,0,0,0,0,2026-01-01 16:10:00
99,L47278,L,-0.5524211743618752,-0.8125581165062443,-0.0076785527635773905,-0.7346577253670267,-0.8633176416578429,0,0,0,0,0,0,2026-01-01 16:20:00
100,L47279,L,-0.6024172079894964,-0.8125581165062443,-0.04800355633597764,0.4454764392702843,-0.8318962792929053,0,0,0,0,0,0,2026-01-01 16:30:00
101,L47280,L,-0.6024172079894964,-0.7451572309007156,2.1631508062173026,-1.5113272183334625,-0.8004749169279677,0,0,0,0,0,0,2026-01-01 16:40:00
102,L47281,L,-0.6024172079894964,-0.8125581165062443,2.455507082117204,-1.9450517403796541,-0.7690535545630302,0,0,0,0,0,0,2026-01-01 16:50:00
103,L47282,L,-0.6024172079894964,-0.8125581165062443,0.16706312938349033,0.0621850011829527,-0.7376321921980925,0,0,0,0,0,0,2026-01-01 17:00:00
104,M14963,M,-0.6024172079894964,-0.8125581165062443,-0.5991119384921143,0.05209838439118067,-0.7062108298331549,0,0,0,0,0,0,2026-01-01 17:10:00
105,L47284,L,-0.6024172079894964,-0.8799590021118113,-0.5386244331335139,0.3446102713525654,-0.6590787862857486,0,0,0,0,0,0,2026-01-01 17:20:00
106,L47285,L,-0.6024172079894964,-0.8799590021118113,0.4090131508178918,-0.896043594035377,-0.6276574239208109,0,0,0,0,0,0,2026-01-01 17:30:00
107,L47286,L,-0.6024172079894964,-0.8799590021118113,-0.5722286027771808,0.859027727732932,-0.5962360615558733,0,0,0,0,0,0,2026-01-01 17:40:00
108,M14967,M,-0.6024172079894964,-0.8125581165062443,-0.22274523848304537,0.6875552422728096,-0.5648146991909357,0,0,0,0,0,0,2026-01-01 17:50:00
109,H29522,H,-0.5524211743618752,-0.8125581165062443,0.6106381686798931,-0.7346577253670267,-0.5176826556435293,0,0,0,0,0,0,2026-01-01 18:00:00
110,L47289,L,-0.5524211743618752,-0.8799590021118113,0.2813173061719577,-0.5934450902822203,-0.43912924973118533,0,0,0,0,0,0,2026-01-01 18:10:00
111,L47290,L,-0.6024172079894964,-0.9473598877173399,2.29756748479197,-1.7634926381277598,-0.40770788736624775,0,0,0,0,0,0,2026-01-01 18:20:00
112,H29525,H,-0.652413241617146,-0.9473598877173399,-0.2093035706255786,0.3546968881443374,-0.3762865250013101,0,0,0,0,0,0,2026-01-01 18:30:00
113,M14972,M,-0.6024172079894964,-0.8799590021118113,-0.216024404554312,-0.04876778352653825,-0.2977331190889661,0,0,0,0,0,0,2026-01-01 18:40:00
114,M14973,M,-0.6024172079894964,-0.9473598877173399,-0.29667441169911246,0.193311019475987,-0.25060107554155975,0,0,0,0,0,0,2026-01-01 18:50:00
115,L47294,L,-0.6024172079894964,-0.9473598877173399,1.007167370475162,-1.0675160794954994,-0.2034690319941533,0,0,0,0,0,0,2026-01-01 19:00:00
116,L47295,L,-0.6024172079894964,-0.9473598877173399,-0.666320277779448,0.5766024575633193,-0.17204766962921572,0,0,0,0,0,0,2026-01-01 19:10:00
117,L47296,L,-0.5524211743618752,-0.8799590021118113,0.2275506347420907,-0.5934450902822203,-0.14062630726427813,0,0,0,0,0,0,2026-01-01 19:20:00
118,L47297,L,-0.6024172079894964,-0.9473598877173399,0.46277982224775877,-0.7043978749917112,-0.10920494489934052,0,0,0,0,0,0,2026-01-01 19:30:00
119,M14978,M,-0.6024172079894964,-0.9473598877173399,1.1886298865509632,-1.1986420977885337,-0.07778358253440293,0,0,0,0,0,0,2026-01-01 19:40:00
120,L47299,L,-0.652413241617146,-1.014760773322907,-0.4243702563450466,0.07227161797472474,-0.030651538986996525,0,0,0,0,0,0,2026-01-01 19:50:00
121,L47300,L,-0.5524211743618752,-0.8799590021118113,-0.6528786099219813,0.47573628964560044,0.0007698233779410748,0,0,0,0,0,0,2026-01-01 20:00:00
122,L47301,L,-0.5524211743618752,-0.8799590021118113,0.18722563116969046,0.1227047019335842,0.03219118574287867,0,0,0,0,0,0,2026-01-01 20:10:00
123,L47302,L,-0.5024251407342256,-0.8125581165062443,-1.4795411831561862,1.0809332971519139,0.06361254810781627,0,0,0,0,0,0,2026-01-01 20:20:00
124,L47303,L,-0.5524211743618752,-0.8799590021118113,0.10657562402488997,0.3446102713525654,0.09503391047275388,0,0,0,0,0,0,2026-01-01 20:30:00
125,L47304,L,-0.5524211743618752,-0.8799590021118113,1.3230465651256307,-1.0675160794954994,0.12645527283769148,0,0,0,0,0,0,2026-01-01 20:40:00
126,L47305,L,-0.5524211743618752,-0.9473598877173399,0.20066729902715721,-0.785090809325886,0.15787663520262907,0,0,0,0,0,0,2026-01-01 20:50:00
127,L47306,L,-0.5024251407342256,-0.9473598877173399,-1.3518453385102522,2.069421742745559,0.18929799756756668,0,0,0,0,0,0,2026-01-01 21:00:00
128,L47307,L,-0.5524211743618752,-0.9473598877173399,-0.7872952884966488,0.6572953918974942,0.22071935993250427,0,0,0,0,0,0,2026-01-01 21:10:00
129,L47308,L,-0.5024251407342256,-0.9473598877173399,0.3821298151029583,-0.13954733465248514,0.2521407222974419,0,0,0,0,0,0,2026-01-01 21:20:00
130,L47309,L,-0.5524211743618752,-1.014760773322907,0.19394646509842384,-0.573271856698677,0.2835620846623795,0,0,0,0,0,0,2026-01-01 21:30:00
131,L47310,L,-0.6024172079894964,-1.082161658928474,-0.38404525277264634,0.11261808514181217,0.31498344702731707,0,0,0,0,0,0,2026-01-01 21:40:00
132,L47311,L,-0.6024172079894964,-1.082161658928474,1.3902549044129644,-1.2389885649556216,0.34640480939225465,0,0,0,0,0,0,2026-01-01 21:50:00
133,M14992,M,-0.652413241617146,-1.082161658928474,-0.5991119384921143,0.32443703776902205,0.37782617175719224,0,0,0,0,0,0,2026-01-01 22:00:00
134,M14993,M,-0.652413241617146,-1.082161658928474,-0.6730411117081814,0.969980512442423,0.42495821530459865,0,0,0,0,0,0,2026-01-01 22:10:00
135,L47314,L,-0.6024172079894964,-1.082161658928474,-1.0830119813609171,1.3129254833626671,0.47209025885200506,0,0,0,0,0,0,2026-01-01 22:20:00
136,M14995,M,-0.6024172079894964,-1.014760773322907,1.2155132222658966,-1.1582956306214465,0.5035116212169427,0,0,0,0,0,0,2026-01-01 22:30:00
137,H29550,H,-0.652413241617146,-1.014760773322907,-0.7402494509955152,0.5766024575633193,0.5506436647643491,0,0,0,0,0,0,2026-01-01 22:40:00
138,L47317,L,-0.652413241617146,-0.9473598877173399,-1.56691202422972,1.5449176695734204,0.6291970706766931,0,0,0,0,0,0,2026-01-01 22:50:00
139,H29552,H,-0.6024172079894964,-0.9473598877173399,-0.5453452670622473,0.949807278858879,0.6606184330416307,0,0,0,0,0,0,2026-01-01 23:00:00
140,L47319,L,-0.6024172079894964,-0.9473598877173399,-1.761816208162988,1.59535075353228,0.7391718389539746,0,0,0,0,0,0,2026-01-01 23:10:00
141,L47320,L,-0.6024172079894964,-0.9473598877173399,-0.1286535634807781,-0.39171275444678244,0.7705932013189123,0,0,0,0,0,0,2026-01-01 23:20:00
142,L47321,L,-0.652413241617146,-1.014760773322907,0.09313395616742322,-0.4824923055727293,0.8020145636838498,0,0,0,0,0,0,2026-01-01 23:30:00
143,M15002,M,-0.7024092752447672,-1.082161658928474,1.6658090954910327,-1.1885554809967622,0.8334359260487875,0,0,0,0,0,0,2026-01-01 23:40:00
144,H29557,H,-0.7024092752447672,-1.082161658928474,-0.827620292069049,1.0607600635683698,0.8805679695961939,0,0,0,0,0,0,2026-01-01 23:50:00
145,M15004,M,-0.7024092752447672,-1.082161658928474,-0.935153634928783,0.24374410343484648,0.9591213755085378,0,0,0,0,0,0,2026-01-02 00:00:00
146,L47325,L,-0.7524053088724167,-1.082161658928474,-0.11521189562331137,-0.6438781742410797,1.0062534190559442,0,0,0,0,0,0,2026-01-02 00:10:00
147,H29560,H,-0.7524053088724167,-1.082161658928474,0.5501506633212927,-0.39171275444678244,1.0376747814208818,0,0,0,0,0,0,2026-01-02 00:20:00
148,L47327,L,-0.8024013425000663,-1.082161658928474,-0.10177022776584463,0.011751917224093241,1.1162281873332258,0,0,0,0,0,0,2026-01-02 00:30:00
149,M15008,M,-0.8523973761276875,-1.1495625445340025,-1.0158036420735834,0.8085946437740725,1.1476495496981634,0,0,0,0,0,0,2026-01-02 00:40:00
150,L47329,L,-0.8024013425000663,-1.1495625445340025,-0.38404525277264634,-0.00842131635945083,1.1947815932455699,0,0,0,0,0,0,2026-01-02 00:50:00
151,L47330,L,-0.8024013425000663,-1.1495625445340025,-0.7268077831380484,0.27400395381016257,1.2262029556105074,0,0,0,0,0,0,2026-01-02 01:00:00
152,M15011,M,-0.8024013425000663,-1.2169634301395695,-0.45125359205998006,-0.24041350257020405,1.2576243179754452,0,0,0,0,0,0,2026-01-02 01:10:00
153,M15012,M,-0.8024013425000663,-1.2169634301395695,0.3619673133167582,0.10253146835004012,1.3047563615228515,0,0,0,0,0,0,2026-01-02 01:20:00
154,L47333,L,-0.8024013425000663,-1.2169634301395695,2.1497091383598357,-1.3095948824980248,1.3518884050702578,0,0,0,0,0,0,2026-01-02 01:30:00
155,L47334,L,-0.8024013425000663,-1.2169634301395695,-0.014399386692310764,-0.3816261376550104,1.3833097674351955,0,0,0,0,0,0,2026-01-02 01:40:00
156,H29569,H,-0.8024013425000663,-1.2169634301395695,2.455507082117204,-2.035831291505601,1.414731129800133,0,0,0,0,0,0,2026-01-02 01:50:00
157,M15016,M,-0.8024013425000663,-1.2843643157450981,-0.23618690634051212,0.6068623079386347,1.493284535712477,0,0,0,0,0,0,2026-01-02 02:00:00
158,H29571,H,-0.8024013425000663,-1.2169634301395695,-0.3504410831289795,0.3546968881443374,1.5404165792598834,0,0,0,0,0,0,2026-01-02 02:10:00
159,M15018,M,-0.8024013425000663,-1.2169634301395695,-0.2093035706255786,0.001665300432321206,1.6189699851722275,0,0,0,0,0,0,2026-01-02 02:20:00
160,L47339,L,-0.8024013425000663,-1.2169634301395695,-0.3974869206301131,0.7077284758563537,1.6661020287196338,0,0,0,0,0,0,2026-01-02 02:30:00
161,L47340,L,-0.8024013425000663,-1.2169634301395695,-1.6677245331607207,2.0895949763291033,1.6975233910845715,1,0,0,0,1,0,2026-01-02 02:40:00
162,L47341,L,-0.8523973761276875,-1.2843643157450981,-0.7940161224253821,1.2423191658202637,1.728944753449509,1,0,0,0,1,0,2026-01-02 02:50:00
163,L47342,L,-0.8523973761276875,-1.2843643157450981,0.37540898117422494,-0.45223245519741395,-1.6959837443286894,0,0,0,0,0,0,2026-01-02 03:00:00
164,M15023,M,-0.8024013425000663,-1.2169634301395695,-0.4176494224163132,0.38495673851965284,-1.6645623819637516,0,0,0,0,0,0,2026-01-02 03:10:00
165,M15024,M,-0.7524053088724167,-1.1495625445340025,-0.6058327724208477,0.36478350493610945,-1.6174303384163453,0,0,0,0,0,0,2026-01-02 03:20:00
166,L47345,L,-0.7524053088724167,-1.082161658928474,1.363371568698031,-1.4104610504157438,-1.5702982948689388,0,0,0,0,0,0,2026-01-02 03:30:00
167,H29580,H,-0.8024013425000663,-1.2169634301395695,0.5501506633212927,-0.7447443421587987,-1.5388769325040013,0,0,0,0,0,0,2026-01-02 03:40:00
168,H29581,H,-0.8024013425000663,-1.1495625445340025,-0.48485776170364697,0.2941771873937059,-1.4603235265916572,0,0,0,0,0,0,2026-01-02 03:50:00
169,L47348,L,-0.8024013425000663,-1.1495625445340025,-0.6528786099219813,2.2509808449974527,-1.3817701206793134,1,0,0,1,0,0,2026-01-02 04:00:00
170,L47349,L,-0.8024013425000663,-1.1495625445340025,-1.4257745117263194,1.9282091076607528,-1.3503487583143756,0,0,0,0,0,0,2026-01-02 04:10:00
171,M15030,M,-0.8024013425000663,-1.2169634301395695,0.5367089954638259,-0.5026655391562734,-1.318927395949438,0,0,0,0,0,0,2026-01-02 04:20:00
