UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_mean,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_mean,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_mean,Torque [Nm]_roll_std,Tool wear [min]_roll_mean,Tool wear [min]_roll_std,Air temperature [K]_lag_1,Air temperature [K]_lag_2,Air temperature [K]_lag_3,Process temperature [K]_lag_1,Process temperature [K]_lag_2,Process temperature [K]_lag_3,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_2,Rotational speed [rpm]_lag_3,Torque [Nm]_lag_1,Torque [Nm]_lag_2,Torque [Nm]_lag_3,Tool wear [min]_lag_1,Tool wear [min]_lag_2,Tool wear [min]_lag_3
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.6,1.897522607701364e-07,309.1333333333334,0.057735026919500804,1501.3333333333333,212.6131071531889,41.800000000000004,10.769865365918001,33.333333333333336,4.041451884327379,298.6,298.6,298.4,309.1,309.1,308.9,1339.0,1423.0,1782.0,51.1,44.3,23.9,34.0,29.0,24.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.6,1.897522607701364e-07,309.1666666666667,0.05773502691957875,1705.3333333333333,349.4457516315421,33.56666666666666,16.050025960518973,37.0,2.999999999999997,298.6,298.6,298.6,309.2,309.1,309.1,1742.0,1339.0,1423.0,30.0,51.1,44.3,37.0,34.0,29.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.6,1.897522607701364e-07,309.2,2.8955895732026097e-07,1773.0,247.95765767566064,32.666666666666664,14.584009508133656,39.666666666666664,2.51661147842358,298.6,298.6,298.6,309.2,309.2,309.1,2035.0,1742.0,1339.0,19.6,30.0,51.1,40.0,37.0,34.0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.6,1.897522607701364e-07,309.2,2.8955895732026097e-07,1629.3333333333333,369.8166212237268,38.199999999999996,16.1331955916985,42.0,1.9999999999999973,298.6,298.6,298.6,309.2,309.2,309.2,1542.0,2035.0,1742.0,48.4,19.6,30.0,42.0,40.0,37.0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.6333333333334,0.057735026919320344,309.2,2.8955895732026097e-07,1421.0,115.89219128138045,46.866666666666674,1.4189197769196444,44.333333333333336,2.51661147842358,298.6,298.6,298.6,309.2,309.2,309.2,1311.0,1542.0,2035.0,46.6,48.4,19.6,44.0,42.0,40.0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.7,0.1000000000002975,309.2,2.8955895732026097e-07,1342.3333333333333,58.654354768707535,48.9,4.875448697299614,47.0,2.999999999999997,298.7,298.6,298.6,309.2,309.2,309.2,1410.0,1311.0,1542.0,45.6,46.6,48.4,47.0,44.0,42.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.8,0.1000000000004183,309.2333333333333,0.05773502691979207,1449.3333333333333,166.52126991268537,44.20000000000001,11.066616465749602,50.666666666666664,4.041451884327379,298.8,298.7,298.6,309.2,309.2,309.2,1306.0,1410.0,1311.0,54.5,45.6,46.6,50.0,47.0,44.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.8666666666667,0.05773502691984133,309.26666666666665,0.05773502691986181,1437.6666666666667,171.79736125253328,43.23333333333333,11.00969269931425,54.333333333333336,4.041451884327379,298.9,298.8,298.7,309.3,309.2,309.2,1632.0,1306.0,1410.0,32.5,54.5,45.6,55.0,50.0,47.0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.8666666666666,0.05773502691984133,309.3,3.3150832262436025e-07,1485.6666666666667,132.16025625479628,40.0,6.579513659838388,58.666666666666664,4.041451884327379,298.9,298.9,298.8,309.3,309.3,309.2,1375.0,1632.0,1306.0,42.7,32.5,54.5,58.0,55.0,50.0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.8666666666666,0.05773502691984133,309.3,3.3150832262436025e-07,1468.6666666666667,104.26089071810875,39.4,7.607233399863573,62.0,3.6055512754639887,298.8,298.9,298.9,309.3,309.3,309.3,1450.0,1375.0,1632.0,44.8,42.7,32.5,63.0,58.0,55.0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.90000000000003,0.1000000000005533,309.3333333333333,0.05773502691991924,1596.3333333333333,154.57145057653247,33.73333333333333,9.904712683027853,65.33333333333333,2.516611478423584,298.9,298.8,298.9,309.3,309.3,309.3,1581.0,1450.0,1375.0,30.7,44.8,42.7,65.0,63.0,58.0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.9666666666667,0.057735026920075164,309.3666666666666,0.05773502691993976,1633.3333333333333,108.4266264961399,31.23333333333333,5.818361739642237,67.66666666666667,2.516611478423584,299.0,298.9,298.8,309.4,309.3,309.3,1758.0,1581.0,1450.0,25.7,30.7,44.8,68.0,65.0,63.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,299.0,3.667891911916701e-07,309.43333333333334,0.057735026920038214,1726.6666666666667,152.43468546670545,28.766666666666666,7.486877408728716,70.33333333333333,2.516611478423584,299.0,299.0,298.9,309.4,309.4,309.3,1561.0,1758.0,1581.0,37.3,25.7,30.7,70.0,68.0,65.0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,299.0333333333333,0.05773502692021465,309.46666666666664,0.05773502692006693,1644.6666666666667,188.94531836839312,33.199999999999996,8.615683373940774,72.66666666666667,2.516611478423584,299.0,299.0,299.0,309.5,309.4,309.4,1861.0,1561.0,1758.0,23.3,37.3,25.7,73.0,70.0,68.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,299.06666666666666,0.057735026920313105,309.4666666666667,0.05773502692006693,1728.0,188.72466717416694,28.96666666666667,8.713399642695865,75.0,1.9999999999999987,299.1,299.0,299.0,309.5,309.5,309.4,1512.0,1861.0,1561.0,39.0,23.3,37.3,75.0,73.0,70.0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,299.1,4.1065887185867015e-07,309.43333333333334,0.057735026920038214,1587.3333333333333,197.109952395442,35.93333333333334,10.153488727197814,78.0,3.6055512754639887,299.1,299.1,299.0,309.4,309.5,309.5,1811.0,1512.0,1861.0,24.6,39.0,23.3,77.0,75.0,73.0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,299.06666666666666,0.057735026920313105,309.4,3.4481644497372944e-07,1647.6666666666667,190.0982202266329,32.96666666666667,10.10956642657502,81.0,3.6055512754639887,299.1,299.1,299.1,309.4,309.4,309.5,1439.0,1811.0,1512.0,44.2,24.6,39.0,82.0,77.0,75.0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.06666666666666,0.057735026920313105,309.43333333333334,0.05773502692007924,1490.3333333333333,182.49748856719486,40.83333333333334,9.508066750572045,84.0,1.9999999999999987,299.0,299.1,299.1,309.4,309.4,309.4,1693.0,1439.0,1811.0,30.1,44.2,24.6,84.0,82.0,77.0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03333333333336,0.05773502692021465,309.43333333333334,0.05773502692007924,1610.0,240.49324314832648,34.6,12.000416659433107,86.33333333333333,2.516611478423584,299.1,299.0,299.1,309.5,309.4,309.4,1339.0,1693.0,1439.0,48.2,30.1,44.2,86.0,84.0,82.0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.03333333333336,0.05773502692021465,309.43333333333334,0.05773502692007924,1518.6666666666667,245.19448063391116,40.666666666666664,13.134813791346017,88.66666666666667,2.516611478423584,299.0,299.1,299.0,309.4,309.5,309.4,1798.0,1339.0,1693.0,25.5,48.2,30.1,89.0,86.0,84.0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,298.96666666666664,0.057735026920075164,309.3666666666666,0.057735026919898735,1627.3333333333333,192.28711171925545,35.43333333333334,11.67961186569712,91.0,1.9999999999999987,299.0,299.0,299.1,309.4,309.4,309.5,1419.0,1798.0,1339.0,48.3,25.5,48.2,91.0,89.0,86.0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,298.9,0.1000000000005533,309.2666666666667,0.15275252316544957,1547.6666666666667,123.39097751996866,38.5,8.558037158133862,93.0,1.9999999999999987,298.9,299.0,299.0,309.3,309.4,309.4,1665.0,1419.0,1798.0,32.5,48.3,25.5,93.0,91.0,89.0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.8333333333333,0.05773502691979621,309.20000000000005,0.10000000000034959,1558.6666666666667,106.50039123558848,38.6,8.729833904490965,95.33333333333333,2.516611478423584,298.8,298.9,299.0,309.1,309.3,309.4,1559.0,1665.0,1419.0,34.7,32.5,48.3,95.0,93.0,91.0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.8333333333333,0.05773502691979621,309.1666666666667,0.05773502691948851,1530.6666666666667,69.00966115938705,40.00000000000001,7.514652353901683,98.0,3.000000000000002,298.8,298.8,298.9,309.2,309.1,309.3,1452.0,1559.0,1665.0,48.6,34.7,32.5,98.0,95.0,93.0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.8333333333333,0.05773502691979621,309.1666666666667,0.05773502691948851,1490.6666666666667,78.5005307837687,41.50000000000001,6.274551776820418,101.0,3.000000000000002,298.9,298.8,298.8,309.2,309.2,309.1,1581.0,1452.0,1559.0,36.7,48.6,34.7,101.0,98.0,95.0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.8666666666667,0.05773502691984544,309.1666666666667,0.05773502691948851,1466.3333333333333,103.73684655576055,42.2,7.466592261534062,103.66666666666667,2.516611478423584,298.8,298.9,298.8,309.1,309.2,309.2,1439.0,1581.0,1452.0,39.2,36.7,48.6,104.0,101.0,98.0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.8333333333333,0.05773502691979621,309.1333333333334,0.057735026919410556,1389.3333333333333,45.39089482851602,47.46666666666667,7.215492591177282,107.0,3.6055512754639887,298.9,298.8,298.9,309.2,309.1,309.2,1379.0,1439.0,1581.0,50.7,39.2,36.7,106.0,104.0,101.0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.8333333333333,0.05773502691979621,309.1333333333334,0.057735026919410556,1363.6666666666667,14.571661996265195,49.53333333333334,3.6909799963335597,110.0,3.6055512754639887,298.8,298.9,298.8,309.1,309.2,309.1,1350.0,1379.0,1439.0,52.5,50.7,39.2,111.0,106.0,104.0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.8,3.0158678288603793e-07,309.1,2.154598221029122e-07,1360.0,9.16515138991533,49.56666666666666,3.7072002014100183,113.0,1.9999999999999987,298.8,298.8,298.9,309.1,309.1,309.2,1362.0,1350.0,1379.0,45.4,52.5,50.7,113.0,111.0,106.0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.8,3.0158678288603793e-07,309.1,2.154598221029122e-07,1366.0,3.4641016151474116,48.43333333333334,2.7610384519840308,115.0,1.9999999999999987,298.8,298.8,298.8,309.1,309.1,309.1,1368.0,1362.0,1350.0,50.8,45.4,52.5,115.0,113.0,111.0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.8,3.0158678288603793e-07,309.1333333333333,0.057735026919410556,1369.3333333333333,2.309401076773021,49.46666666666667,1.1930353445453592,117.33333333333333,2.516611478423584,298.8,298.8,298.8,309.1,309.1,309.1,1368.0,1368.0,1362.0,49.1,50.8,45.4,117.0,115.0,113.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.8,3.0158678288603793e-07,309.1333333333333,0.057735026919410556,1404.0,58.923679450625514,48.366666666666674,0.8082903768661155,120.66666666666667,4.04145188432738,298.8,298.8,298.8,309.2,309.1,309.1,1372.0,1368.0,1368.0,48.5,49.1,50.8,120.0,117.0,115.0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.8,3.0158678288603793e-07,309.1333333333333,0.057735026919410556,1444.3333333333333,63.21655901212437,48.366666666666674,0.8082903768661155,124.33333333333333,4.04145188432738,298.8,298.8,298.8,309.1,309.2,309.1,1472.0,1372.0,1368.0,47.5,48.5,49.1,125.0,120.0,117.0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.7666666666667,0.05773502691973878,309.06666666666666,0.0577350269193121,1601.3333333333333,209.46200928410246,40.800000000000004,13.014991356124687,127.66666666666667,2.5166114784235836,298.8,298.8,298.8,309.1,309.1,309.2,1489.0,1472.0,1372.0,49.1,47.5,48.5,128.0,125.0,120.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.76666666666665,0.05773502691973878,309.06666666666666,0.0577350269193121,1583.3333333333333,227.6627622896055,40.4,12.721242077721824,130.33333333333334,2.5166114784235782,298.7,298.8,298.8,309.0,309.1,309.1,1843.0,1489.0,1472.0,25.8,49.1,47.5,130.0,128.0,125.0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.7666666666667,0.05773502691973878,309.09999999999997,0.10000000000023354,1562.0,243.37830634631362,42.0,14.535129858381051,132.66666666666666,2.5166114784235782,298.8,298.7,298.8,309.1,309.0,309.1,1418.0,1843.0,1489.0,46.3,25.8,49.1,133.0,130.0,128.0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8333333333333,0.05773502691975519,309.1666666666667,0.05773502691952132,1418.3333333333333,6.506407098654393,48.1,5.141984052873065,136.0,3.6055512754639882,298.8,298.8,298.7,309.2,309.1,309.0,1425.0,1418.0,1843.0,53.9,46.3,25.8,135.0,133.0,130.0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.8666666666667,0.0577350269197757,309.1666666666667,0.05773502691952132,1899.3333333333333,832.8531283085473,34.2,26.09846738795211,139.33333333333334,4.041451884327376,298.9,298.8,298.8,309.2,309.2,309.1,1412.0,1425.0,1418.0,44.1,53.9,46.3,140.0,135.0,133.0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.9,3.1615692364181153e-07,309.1333333333333,0.05773502691944338,1885.3333333333333,845.07652513446,34.53333333333334,26.479488917525074,142.66666666666666,2.516611478423574,298.9,298.9,298.8,309.1,309.2,309.2,2861.0,1412.0,1425.0,4.6,44.1,53.9,143.0,140.0,135.0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.8666666666666,0.05773502691973468,309.06666666666666,0.057735026919344914,1913.6666666666667,822.39244484208,34.43333333333334,26.425808092342855,145.0,1.999999999999993,298.9,298.9,298.9,309.1,309.1,309.2,1383.0,2861.0,1412.0,54.9,4.6,44.1,145.0,143.0,140.0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.8,0.10000000000035672,309.03333333333336,0.05773502691927518,1481.6666666666667,91.96376097862505,44.6,9.924212815130508,148.0,3.6055512754639856,298.8,298.9,298.9,309.0,309.1,309.1,1497.0,1383.0,2861.0,43.8,54.9,4.6,147.0,145.0,143.0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.73333333333335,0.05773502691945573,309.0,1.6141193229033254e-07,1584.3333333333333,98.43441132720649,36.333333333333336,6.932772413207683,151.0,3.6055512754639856,298.7,298.8,298.9,309.0,309.0,309.1,1565.0,1497.0,1383.0,35.1,43.8,54.9,152.0,147.0,145.0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.73333333333335,0.05773502691945573,309.03333333333336,0.05773502691927518,1589.3333333333333,91.94744875924333,35.300000000000004,5.302829433425154,154.0,1.999999999999993,298.7,298.7,298.8,309.0,309.0,309.0,1691.0,1565.0,1497.0,30.1,35.1,43.8,154.0,152.0,147.0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.76666666666665,0.05773502691952547,309.06666666666666,0.057735026919373635,1560.0,114.79111463872256,37.73333333333334,6.6650831452678485,156.0,1.999999999999993,298.8,298.7,298.7,309.1,309.0,309.0,1512.0,1691.0,1565.0,40.7,30.1,35.1,156.0,154.0,152.0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.8,2.66572276857606e-07,309.1,2.4527489978802573e-07,1500.6666666666667,20.50203241958412,41.13333333333333,1.1150485789120133,158.0,1.999999999999993,298.8,298.8,298.7,309.1,309.1,309.0,1477.0,1512.0,1691.0,42.4,40.7,30.1,158.0,156.0,154.0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.8,2.66572276857606e-07,309.06666666666666,0.057735026919373635,1550.3333333333333,97.51581068387672,37.400000000000006,6.921704992268899,160.0,1.999999999999993,298.8,298.8,298.8,309.1,309.1,309.1,1513.0,1477.0,1512.0,40.3,42.4,40.7,160.0,158.0,156.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,2.66572276857606e-07,309.06666666666666,0.057735026919373635,1517.3333333333333,141.54975568093957,41.4,12.486392593539591,162.33333333333334,2.516611478423574,298.8,298.8,298.8,309.0,309.1,309.1,1661.0,1513.0,1477.0,29.5,40.3,42.4,162.0,160.0,158.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.8,2.66572276857606e-07,309.06666666666666,0.057735026919373635,1477.3333333333333,159.23672105809538,45.5,13.88560405599989,164.66666666666666,2.516611478423574,298.8,298.8,298.8,309.1,309.0,309.1,1378.0,1661.0,1513.0,54.4,29.5,40.3,165.0,162.0,160.0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.8,2.66572276857606e-07,309.06666666666666,0.057735026919373635,1454.3333333333333,119.45850046494672,48.400000000000006,8.879189152169282,167.0,1.999999999999993,298.8,298.8,298.8,309.1,309.1,309.0,1393.0,1378.0,1661.0,52.6,54.4,29.5,167.0,165.0,162.0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.8,2.66572276857606e-07,309.03333333333336,0.05773502691927518,1604.6666666666667,218.2758193967753,37.900000000000006,14.852272553383882,169.33333333333334,2.516611478423574,298.8,298.8,298.8,309.0,309.1,309.1,1592.0,1393.0,1378.0,38.2,52.6,54.4,169.0,167.0,165.0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.8333333333333,0.057735026919582905,309.0,1.6141058888694355e-07,1744.3333333333333,132.1980836976605,29.000000000000004,8.107404023483705,171.66666666666666,2.516611478423574,298.8,298.8,298.8,309.0,309.0,309.1,1829.0,1592.0,1393.0,22.9,38.2,52.6,172.0,169.0,167.0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.90000000000003,0.10000000000038278,309.03333333333336,0.05773502691927518,1721.3333333333333,171.97189692892746,29.133333333333336,8.334466589610464,174.33333333333334,2.516611478423574,298.9,298.8,298.8,309.0,309.0,309.0,1812.0,1829.0,1592.0,25.9,22.9,38.2,174.0,172.0,169.0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.9666666666667,0.057735026919697764,309.06666666666666,0.057735026919373635,1576.3333333333333,214.0428306048433,36.53333333333334,9.765415164412289,176.66666666666666,2.516611478423574,299.0,298.9,298.8,309.1,309.0,309.0,1523.0,1812.0,1829.0,38.6,25.9,22.9,177.0,174.0,172.0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.96666666666664,0.057735026919697764,309.03333333333336,0.11547005383808064,1532.0,142.71299870719656,37.466666666666676,8.25853094280899,179.0,1.999999999999993,299.0,299.0,298.9,309.1,309.1,309.0,1394.0,1523.0,1812.0,45.1,38.6,25.9,179.0,177.0,174.0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.9,0.10000000000038278,308.96666666666664,0.11547005383795347,1513.0,148.19919028118974,39.300000000000004,9.193475947648981,181.33333333333334,2.516611478423574,298.9,299.0,299.0,308.9,309.1,309.1,1679.0,1394.0,1523.0,28.7,45.1,38.6,181.0,179.0,177.0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.8333333333333,0.057735026919582905,308.9,0.0,1557.3333333333333,109.69199302288939,35.06666666666667,8.038863933002812,184.66666666666666,4.041451884327376,298.8,298.9,299.0,308.9,308.9,309.1,1466.0,1679.0,1394.0,44.1,28.7,45.1,184.0,181.0,179.0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.8333333333333,0.057735026919582905,308.93333333333334,0.0577350269189675,1467.6666666666667,58.51780355869155,47.4,16.89348987036133,188.0,3.6055512754639882,298.8,298.8,298.9,308.9,308.9,308.9,1527.0,1466.0,1679.0,32.4,44.1,28.7,189.0,184.0,181.0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.8666666666666,0.057735026919603416,308.96666666666664,0.05773502691893878,1620.3333333333333,269.4110861366578,40.23333333333334,22.592550394617554,191.0,1.9999999999999982,298.9,298.8,298.8,309.0,308.9,308.9,1410.0,1527.0,1466.0,65.7,32.4,44.1,191.0,189.0,184.0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.9,2.8295121760500027e-07,309.03333333333336,0.0577350269189675,1595.3333333333333,285.4073112821983,44.6,21.564090521049124,193.33333333333334,2.5166114784235782,298.9,298.9,298.8,309.0,309.0,308.9,1924.0,1410.0,1527.0,22.6,65.7,32.4,193.0,191.0,189.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.9,2.8295121760500027e-07,309.06666666666666,0.05773502691893878,1581.6666666666667,299.3598726171122,37.50000000000001,12.915494570476202,195.66666666666666,2.5166114784235782,298.9,298.9,298.9,309.1,309.0,309.0,1452.0,1924.0,1410.0,45.5,22.6,65.7,196.0,193.0,191.0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.93333333333334,0.0577350269197429,309.1,0.0,1471.0,112.70758625753791,41.63333333333333,5.770904030854595,198.0,1.9999999999999982,298.9,298.9,298.9,309.1,309.1,309.0,1369.0,1452.0,1924.0,44.4,45.5,22.6,198.0,196.0,193.0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.93333333333334,0.0577350269197429,309.06666666666666,0.0577350269189675,1520.6666666666667,131.4242494113384,37.233333333333334,6.351640208114247,200.0,1.9999999999999982,299.0,298.9,298.9,309.1,309.1,309.1,1592.0,1369.0,1452.0,35.0,44.4,45.5,200.0,198.0,196.0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.90000000000003,0.10000000000037094,309.0,0.09999999999997537,1524.0,125.65428763078614,38.00000000000001,7.654410493303868,202.0,1.9999999999999982,298.9,299.0,298.9,309.0,309.1,309.1,1601.0,1592.0,1369.0,32.3,35.0,44.4,202.0,200.0,198.0
